instance,cluster,rmse,sim_cov,mar_cov,sign_cert,mean_width,gas_evals,status
0,0,0.0007525852734456538,1.0,1.0,0.0,8.696980312246636,1453,BUDGET_EXHAUSTED
1,1,0.00307602993008978,1.0,1.0,0.0,9.418221785427646,1475,BUDGET_EXHAUSTED
2,2,0.0019799343023215554,1.0,1.0,0.0,8.775867262243494,1447,BUDGET_EXHAUSTED
3,3,0.004183633550450686,1.0,1.0,0.0,8.689588756802442,1460,BUDGET_EXHAUSTED
4,0,0.0006510614593818856,1.0,1.0,0.0,8.91880736361527,1502,BUDGET_EXHAUSTED
5,1,0.0035060126127592797,1.0,1.0,0.0,9.347971740204661,1482,BUDGET_EXHAUSTED
6,2,0.0016715067400746317,1.0,1.0,0.0,8.991194172265795,1479,BUDGET_EXHAUSTED
7,3,0.002894706492099431,1.0,1.0,0.0,9.664738518205214,1398,BUDGET_EXHAUSTED
8,0,0.0007843619658460257,1.0,1.0,0.0,8.96708779046409,1385,BUDGET_EXHAUSTED
9,1,0.002486793169528744,1.0,1.0,0.0,9.208753204029508,1441,BUDGET_EXHAUSTED
